Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
20.4942,0.8282,75.5578,124.2449,144.9184,0.9770,5.1082,1.0000,6.1739,6.1739,6.3986,CF4F1575-F2D8-4AA5-818D-47B67BF2D009,0.6081,1.9180,1.1664,12.4733,2019-10-21T09:59:32.876,6.979295e+01,4.7294
16.4136,0.6055,79.0472,112.0472,128.2677,0.4454,4.5715,0.0954,20.3031,1.9365,9.1806,726FD418-C0C9-4795-9F5F-B85B170EDEC5,0.7055,1.6227,1.1448,6.4898,2019-10-21T09:59:32.876,5.002315e+01,5.2858
56.9398,0.5240,82.2597,117.7240,130.2987,0.7768,8.5146,0.5332,13.3726,7.1303,13.0754,52E73F62-9A40-4C90-9AA7-2C4A2C0087EF,0.6988,1.5840,1.1068,16.8944,2019-10-21T09:59:33.032,3.232120e+02,6.3986
14.2406,0.3725,106.3879,124.9224,134.7586,0.4194,4.2581,0.1274,16.7904,2.1388,10.2934,F3FDE425-DE7C-4768-B1CD-53D463CC9D81,0.8516,1.2667,1.0787,22.2091,2019-10-21T09:59:33.133,4.042572e+01,3.0602
10.0842,0.2813,91.6702,131.1702,143.9574,0.2245,3.5832,0.1077,16.4397,1.7701,12.5190,3D3D71FD-E07B-41B3-8E5A-297741586D02,0.6989,1.5704,1.0975,11.5057,2019-10-21T09:59:33.240,2.408940e+01,3.0602
8.1231,0.7676,102.2530,140.7590,150.8795,0.4176,3.2160,0.1344,13.8280,1.8582,6.9550,615B5255-307B-4162-B504-3CEBFB8FBD26,0.7264,1.4756,1.0719,3.6568,2019-10-21T09:59:33.542,1.741601e+01,5.2858
10.2668,0.4380,110.0632,131.2526,130.7684,0.5944,3.6155,0.2072,11.9140,2.4685,8.0678,796EFD0D-20E4-4045-AFFC-0E81977A6DC7,0.8386,1.1881,0.9963,8.6275,2019-10-21T09:59:33.732,2.474657e+01,2.5038
19.6660,0.6871,97.1888,133.5315,149.4755,0.5154,5.0040,0.0682,25.4819,1.7373,10.2934,0DDDA21F-9307-41D7-AFE9-A90848AE967D,0.7278,1.5380,1.1194,9.2327,2019-10-21T09:59:33.833,6.560536e+01,5.8422
31.4755,0.9354,92.6364,139.5909,156.8889,0.9887,6.3306,1.0000,7.5172,7.5172,7.5114,96F18F46-F7C5-4D39-95FF-A50EF9206C99,0.6636,1.6936,1.1239,9.3071,2019-10-21T09:59:34.141,1.328384e+02,5.8422
19.6660,0.8371,87.5175,128.6993,144.9860,0.9699,5.0040,1.0000,6.1739,6.1739,6.3986,C0FD9F7E-F1DE-4061-8A96-7E8C2357DCB2,0.6800,1.6567,1.1265,11.0578,2019-10-21T09:59:34.532,6.560536e+01,4.7294
22.1670,0.5922,82.2452,127.6194,144.3419,0.8542,5.3126,1.0000,6.6151,6.6151,8.6242,6BBE5CAC-C476-4C33-9067-643CCEA06759,0.6445,1.7550,1.1310,12.5294,2019-10-21T09:59:34.532,7.851010e+01,3.6166
13.6580,0.6653,58.3009,102.1593,120.8584,0.8673,4.1701,0.5543,7.9444,4.4034,6.9550,DDAD88B0-58CB-40CF-9963-8274CFC654AC,0.5707,2.0730,1.1830,10.4694,2019-10-21T09:59:34.632,3.797049e+01,3.6166
81.3567,0.6853,64.1005,92.9265,108.9265,0.8004,10.1777,0.2211,23.9020,5.2845,15.3010,3E971879-3BFA-4C34-BA2A-43DF0AFE4F6C,0.6898,1.6993,1.1722,22.0868,2019-10-21T09:59:35.032,5.520186e+02,10.8498
18.0272,0.8114,68.6667,112.8444,133.5481,0.9729,4.7909,1.0000,5.8142,5.8142,6.3986,555A23C6-9ED1-40F0-940E-D089CD2C6DA9,0.6085,1.9449,1.1835,16.0031,2019-10-21T09:59:35.331,5.757811e+01,4.1730
18.0272,0.8531,59.4519,96.1481,113.9926,0.9726,4.7909,1.0000,5.8620,5.8620,6.3986,5E30385B-A2FF-4F26-8D5A-A44B932F9FB9,0.6183,1.9174,1.1856,21.5100,2019-10-21T09:59:35.432,5.757811e+01,4.1730
15.4190,0.8990,100.3525,147.9508,158.9098,0.5754,4.4308,0.1392,16.4735,2.2927,6.9550,0ED62572-7C34-445F-885A-9FE25D06B77A,0.6783,1.5835,1.0741,6.3493,2019-10-21T09:59:35.635,4.554579e+01,5.8422
20.9104,0.7013,79.6779,127.5638,143.0336,0.9344,5.1598,1.0000,6.2892,6.2892,6.9550,7EF9D237-C2CA-4D9F-93C0-AD28A122C9DD,0.6246,1.7951,1.1213,13.6743,2019-10-21T09:59:35.635,7.192971e+01,4.1730
18.2308,0.7467,66.4559,124.9191,147.8676,0.9427,4.8179,1.0000,5.9772,5.9772,6.9550,85D976F8-911D-4352-B307-5D2B8D204755,0.5320,2.2250,1.1837,13.1429,2019-10-21T09:59:35.734,5.855589e+01,4.1730
15.4190,0.8232,95.4836,119.9016,129.8770,0.9330,4.4308,1.0000,6.0924,6.0924,6.9550,57609BEB-03D7-4D06-B9A2-AFD75075FD08,0.7963,1.3602,1.0832,13.9670,2019-10-21T09:59:35.831,4.554579e+01,4.1730
19.0487,0.0718,87.0429,130.2857,156.5357,0.1166,4.9248,0.0643,25.9595,1.6696,24.2034,B575E1CE-6C7D-408A-9A27-E536CB2B5298,0.6681,1.7984,1.2015,7.4400,2019-10-21T09:59:36.137,6.254044e+01,1.1128
35.5030,0.9759,70.8657,113.6204,126.3380,0.9958,6.7234,1.0000,7.4020,7.4020,7.5114,B46F3795-64D6-45A1-8635-8F0A40D03C4D,0.6237,1.7828,1.1119,15.4583,2019-10-21T09:59:36.232,1.591336e+02,6.3986
15.8155,0.2593,66.2823,90.8145,100.2661,0.4131,4.4874,0.1916,14.1545,2.7121,11.4062,3058B500-41DB-42D9-A808-C25CCB6962BA,0.7299,1.5127,1.1041,14.0815,2019-10-21T09:59:36.232,4.731393e+01,2.2256
