Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
27.9557,0.5075,62.3626,122.2527,135.7912,0.7566,5.9661,0.3904,12.0136,4.6900,10.2934,6B3F2E95-89F2-4BE6-8884-65999D6B877A,0.5101,2.1774,1.1107,16.6290,2019-10-21T10:21:24.190,1.111907e+02,4.7294
10.2668,0.6623,50.5263,111.9368,134.1579,0.3326,3.6155,0.0696,20.5500,1.4311,11.4062,55709883-F321-407F-84FE-FCD98ABB3B96,0.4514,2.6552,1.1985,5.7339,2019-10-21T10:21:24.355,2.474657e+01,4.7294
55.5065,0.5403,46.5497,88.8775,108.4238,0.6796,8.4067,0.2244,20.4137,4.5799,13.0754,36E82BDA-7B44-410A-9382-1F720ABA91B9,0.5238,2.3292,1.2199,15.9667,2019-10-21T10:21:24.654,3.110851e+02,7.5114
29.2685,0.5354,66.4362,119.2181,138.8245,0.4894,6.1046,0.0814,26.7398,2.1766,13.6318,E0319CFC-9B0D-4AC3-BD7F-9ED6495C96C0,0.5573,2.0896,1.1645,16.2611,2019-10-21T10:21:24.756,1.191145e+02,5.8422
20.0794,0.4628,66.8483,107.1793,114.2621,0.7574,5.0563,0.6595,8.2500,5.4411,9.1806,3A26EF2F-1F8F-4157-A706-5A6C7F92A8DB,0.6237,1.7093,1.0661,11.5214,2019-10-21T10:21:24.954,6.768478e+01,3.0602
36.4069,0.6063,31.8909,74.6000,92.9091,0.8649,6.8084,1.0000,8.0596,8.0596,9.1806,506F595A-6232-4C71-BA09-E197634363BD,0.4275,2.9133,1.2454,16.0957,2019-10-21T10:21:25.058,1.652490e+02,5.2858
33.4809,0.4360,43.8261,90.6184,112.3720,0.4802,6.5291,0.1270,22.4673,2.8523,15.3010,0A657DFA-5E0B-4CB7-B6E4-7943E7F0A525,0.4836,2.5640,1.2401,15.9978,2019-10-21T10:21:25.156,1.457334e+02,6.3986
37.3137,0.5805,43.6027,88.2366,105.8036,0.6986,6.8927,0.2268,17.4872,3.9655,11.9626,883671AC-DAED-4373-B242-96E8646A4CDB,0.4942,2.4265,1.1991,14.3805,2019-10-21T10:21:25.156,1.714617e+02,7.5114
29.4882,0.5436,53.5132,105.8095,124.1058,0.8110,6.1274,1.0000,7.5172,7.5172,10.2934,23785B8D-E97C-4B84-9165-BBAFF3897A01,0.5058,2.3192,1.1729,17.5931,2019-10-21T10:21:25.354,1.204579e+02,4.7294
6.5915,0.7360,46.7568,99.1216,119.6892,0.4518,2.8970,0.1243,13.5776,1.6873,6.3986,31C30F61-366C-4471-887A-0855A468CE1B,0.4717,2.5598,1.2075,10.4559,2019-10-21T10:21:25.556,1.273045e+01,4.1730
16.8145,0.5124,25.7442,56.7674,71.7442,0.7725,4.6270,0.7755,7.1763,5.5650,7.5114,EF384C8A-FEF8-445B-8686-8E18654EC91A,0.4535,2.7868,1.2638,6.7019,2019-10-21T10:21:25.657,5.186704e+01,3.6166
84.0942,0.8429,48.8019,110.4200,131.0597,0.7977,10.3476,0.2759,23.2804,6.4229,16.4138,442549E1-F0AE-41D0-BE41-84DCAFC17462,0.4420,2.6855,1.1869,6.7044,2019-10-21T10:21:25.657,5.801134e+02,13.0754
36.8599,0.3653,29.5676,86.7883,112.6261,0.5643,6.8507,0.2695,15.9686,4.3039,14.1882,49F7CBD6-CE05-415E-9DA1-273C8739AC1F,0.3407,3.8091,1.2977,14.2961,2019-10-21T10:21:25.657,1.683432e+02,4.7294
304.5994,0.5323,60.0280,127.6768,149.3752,0.8105,19.6933,0.4215,31.5481,13.2966,29.2110,EBD0F3A2-8EF7-4260-8446-1DDD0E3D2AC9,0.4702,2.4884,1.1699,11.1913,2019-10-21T10:21:25.657,3.999054e+03,16.4138
43.9721,0.5214,54.4664,109.8103,133.5573,0.5757,7.4825,0.1303,24.5129,3.1952,13.0754,82FC0D45-47F1-4351-8B59-7F71CB21C687,0.4960,2.4521,1.2163,20.4389,2019-10-21T10:21:25.657,2.193462e+02,6.9550
