Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
14.8277,0.4484,37.7815,81.7143,97.5126,0.6920,4.3450,0.3568,10.1609,3.6257,8.6242,494C26C4-817C-4877-9B29-F628EA0FF22B,0.4624,2.5810,1.1933,4.7035,2019-10-22T14:08:19.540,4.295102e+01,2.5038
5.4541,0.0472,67.7313,140.5075,185.5075,0.0832,2.6352,0.0430,21.9756,0.9439,19.1958,E710DE2C-6F9D-4811-B110-3445E0720985,0.4820,2.7389,1.3203,3.8172,2019-10-22T14:08:19.540,9.581754e+00,0.8346
9.3608,0.7813,66.4222,124.1222,141.9889,0.5510,3.4523,0.1183,15.3493,1.8152,6.3986,B45E8579-6020-40DE-AB01-A21CD13B2D87,0.5351,2.1377,1.1439,5.9394,2019-10-22T14:08:20.039,2.154427e+01,4.7294
25.7879,0.5737,33.4070,97.1802,126.0291,0.7122,5.7301,0.3538,12.2676,4.3405,10.2934,8B537546-8F7F-479B-AFDB-04C2D502D2D4,0.3438,3.7725,1.2969,10.1628,2019-10-22T14:08:20.039,9.851191e+01,5.2858
18.0272,0.4707,53.0519,100.1037,111.9111,0.7092,4.7909,0.5050,9.0968,4.5943,8.6242,80E09DB0-7698-4967-B803-77D230C6944A,0.5300,2.1095,1.1180,20.2401,2019-10-22T14:08:20.039,5.757811e+01,3.6166
57.8976,0.9046,47.2019,106.9231,130.3173,0.5538,8.5859,0.0619,39.5111,2.4446,17.5266,5E025204-251C-42EE-8B1A-A443786C2F10,0.4415,2.7608,1.2188,8.3560,2019-10-22T14:08:20.039,3.314018e+02,10.8498
17.2171,0.9108,61.7099,126.6641,151.8779,0.9818,4.6820,1.0000,6.1739,6.1739,5.8422,69F0F26D-4934-4BEF-899A-B0DCC496AE48,0.4872,2.4612,1.1991,5.8990,2019-10-22T14:08:20.138,5.374094e+01,4.7294
37.0867,0.4838,45.6816,99.2601,121.4619,0.4775,6.8717,0.0963,26.7706,2.5788,14.1882,F4816BC4-42A7-456A-808B-C2C7DEE208D4,0.4602,2.6589,1.2237,11.0974,2019-10-22T14:08:20.138,1.698994e+02,5.8422
40.0517,0.7173,53.4110,107.9576,130.1780,0.9039,7.1411,0.6011,12.0090,7.2181,10.8498,B4C799FE-0DA5-4674-A111-1AAD5D838089,0.4947,2.4373,1.2058,6.5059,2019-10-22T14:08:20.138,1.906759e+02,6.9550
35.5030,0.8965,67.0509,132.0741,154.1667,0.5878,6.7234,0.0582,33.8901,1.9731,10.8498,AD3B6323-1C75-4826-A71E-0A95DA963793,0.5077,2.2992,1.1673,10.2605,2019-10-22T14:08:20.236,1.591336e+02,9.7370
