Sample,Initial,Final
1,1.3395,1.3656
2,1.0771,1.0791
3,1.0826,1.0849
4,1.0933,1.0962
5,1.0848,1.0866
6,1.0845,1.0863
7,1.0867,1.0977
8,1.0726,1.0742
9,1.327,1.3371
10,1.0753,1.0821
11,1.3351,1.3398
12,1.3406,1.3424
13,1.3449,1.3541
14,1.3439,1.3456
15,1.0852,1.0866
16,1.0924,1.0941
17,1.1027,1.1102
18,1.0951,1.0972
19,1.3438,1.3454
20,1.3296,1.3357
21,1.0973,1.0993
22,1.3452,1.3563
23,1.09,1.0922
24,1.34,1.342
25,1.093,1.1044
26,1.0867,1.0888
27,1.336,1.3381
28,1.11,1.1116
29,1.3414,1.3434
30,1.1052,1.1086
